,deaths_by_agency,Agency,DODPurchase_Quantity,DOD_TotalValue,pct_of_pop_grad_degree,pct_of_pop_college_degree,pct_of_pop_high_school_degree,city_state,pct_below_povline,pctBPL_workft,pctBPL_workpt,pctBPL_unempl,City,State,city_name,education_services_city,social_services_city,public_welfare_city,police_city,fire_city,correction_city,inspection_city,envir_housing_city,parks_recreation_city,housing_commdevt_city
10,2,WV: CHARLESTON POLICE DEPARTMENT,1611,13530.350000000006,9.5,22.6,86.8,WV: CHARLESTON,18.3,3.1,21.6,25.2,Charleston,WV,WV: CHARLESTON,18.4975,7.432499999999999,4.1225000000000005,481.83500000000004,415.19875,0.0,0.0,938.135,336.805,102.97500000000001
11,4,OR: SALEM POLICE DEPARTMENT,44,960.0,8.6,24.2,86.3,OR: SALEM,15.0,3.8,18.2,20.8,Salem,OR,OR: SALEM,29.23875,11.4225,0.0,231.2525,169.20624999999998,0.0,19.46375,497.61875000000003,51.67625,218.12874999999997
12,24,CA: BAKERSFIELD POLICE DEPARTMENT,2424,2058050.8699999996,5.4,16.1,73.8,CA: BAKERSFIELD,22.0,5.8,21.6,29.0,Bakersfield,CA,CA: BAKERSFIELD,0.0,0.8125,0.0,218.58999999999997,102.07625,0.0,308.1,325.17499999999995,93.56499999999998,31.836249999999996
13,13,AK: ANCHORAGE POLICE DEPARTMENT,17536,899408.669999997,11.8,31.7,93.4,AK: ANCHORAGE,9.5,1.6,11.3,16.2,Anchorage,AK,AK: ANCHORAGE,2573.1924999999997,94.2025,2.64125,452.82875000000007,349.27625,0.0,20.9325,375.53625000000005,105.89874999999999,18.7975
14,7,TN: KNOXVILLE POLICE DEPARTMENT,1,60409.0,11.2,28.5,88.2,TN: KNOXVILLE,15.2,2.9,20.1,22.2,Knoxville,TN,TN: KNOXVILLE,0.0,0.05875,0.0,267.96,183.2425,0.0,12.59625,711.1125,119.01375,47.900000000000006
15,23,CA: FRESNO POLICE DEPARTMENT,3,30000.0,6.9,20.7,75.3,CA: FRESNO,24.1,5.6,24.5,31.6,Fresno,CA,CA: FRESNO,0.0,15.577499999999999,0.0,299.81624999999997,112.37875000000001,0.0,15.6975,317.98249999999996,62.3675,35.838750000000005
16,5,MI: MICHIGAN STATE POLICE,262,2991910.0799999996,7.6,20.9,90.4,MI: FLINT,19.8,3.8,22.2,25.1,Flint,MI,MI: FLINT,0.0,4025.5575,0.0,257.56624999999997,144.78875,0.0,44.18375,516.1975,39.485,179.435
17,1,MI: FLINT POLICE DEPARTMENT,3,783409.0,7.6,20.9,90.4,MI: FLINT,19.8,3.8,22.2,25.1,Flint,MI,MI: FLINT,0.0,4025.5575,0.0,257.56624999999997,144.78875,0.0,44.18375,516.1975,39.485,179.435
18,3,AK: FAIRBANKS POLICE DEPARTMENT,1,689000.0,12.1,32.6,94.5,AK: FAIRBANKS,8.1,1.5,11.5,14.7,Fairbanks,AK,AK: FAIRBANKS,0.0,0.0,0.0,274.78499999999997,217.8175,0.0,18.752499999999998,13.597499999999998,2.6425,0.0
19,6,NY: ROCHESTER POLICE DEPARTMENT,19,710339.0,15.2,34.1,90.3,NY: ROCHESTER,13.8,1.7,16.9,22.0,Rochester,NY,NY: ROCHESTER,3891.81625,8.04375,0.0,424.07125,238.5625,0.0,25.985,491.90625,80.62,224.03625
20,12,NV: RENO POLICE DEPARTMENT,2,200123.73,11.4,30.4,88.3,NV: RENO,12.1,2.3,16.9,19.1,Reno,NV,NV: RENO,0.0,0.0,0.0,263.76125,202.88250000000002,0.0,20.525,345.78,57.88,55.145
21,3,OH: SPRINGFIELD POLICE DEPARTMENT,63,1839.31,11.6,31.3,91.7,OH: AKRON,13.1,2.0,18.1,19.8,Akron,OH,OH: AKRON,1.1175,54.654999999999994,1.4725,286.6775,207.91124999999997,32.025000000000006,0.5925,468.76624999999996,30.277499999999996,95.27875
22,5,AL: MOBILE POLICE DEPARTMENT,29,55033.0,7.8,22.9,86.2,AL: MOBILE,19.3,4.0,21.5,26.6,Mobile,AL,AL: MOBILE,65.56375,35.621249999999996,0.0,248.83624999999998,156.01375000000002,39.10125,22.7675,466.86,140.13750000000002,14.407499999999999
23,1,ND: BISMARCK POLICE DEPARTMENT,33,618725.0,8.7,32.2,93.1,ND: BISMARCK,9.3,1.6,14.2,19.9,Bismarck,ND,ND: BISMARCK,36.3225,42.07625,0.0,192.73874999999998,104.26875,0.0,16.983749999999997,502.83875,135.86624999999998,9.913749999999999
24,1,WY: CHEYENNE POLICE DEPARTMENT,2,1422000.0,10.2,28.7,93.2,WY: CHEYENNE,10.0,3.0,12.7,17.3,Cheyenne,WY,WY: CHEYENNE,0.0,56.67999999999999,20.996249999999996,291.5475,177.47375,0.0,21.3775,520.94125,194.395,8.49125
25,1,SC: COLUMBIA POLICE DEPARTMENT,310,1562722.7799999982,12.2,31.9,89.5,SC: COLUMBIA,15.2,3.1,21.0,23.5,Columbia,SC,SC: COLUMBIA,0.14875,19.25125,4.75375,276.91375,218.005,0.0,5.791250000000001,758.9725,109.7125,52.325
