year,city_name,city_population,rev_total_city,taxes_city,education_services_city,social_services_city,public_welfare_city,police_city,fire_city,correction_city,inspection_city,envir_housing_city,parks_recreation_city,housing_commdevt_city
1977,AK: Anchorage,174500,5342.24,1515.87,2430.69,85.3,0,211.08,213.3,0,70.77,528.15,170.16,0
1978,AK: Anchorage,177000,5948.99,1613.17,2309.12,139.48,0,200.38,238.95,0,33.94,769.76,119.6,0
1979,AK: Anchorage,179600,6158.68,1567.01,2337.98,96.01,0,227.21,208.61,0,33.73,452.89,155.43,0
1980,AK: Anchorage,178800,5654.93,1322.12,2209.96,83.17,0,285.26,237.96,0,27.78,442.04,114.42,0
1981,AK: Anchorage,174431,6192.83,1222.39,1985.99,91.38,0,281.27,218.64,0,25.99,433.31,131.79,0
1982,AK: Anchorage,180969,6560.51,890.61,2189.02,139.93,0,312.87,262.91,0,21.48,434.59,206.49,0
1983,AK: Anchorage,195216,7382.29,872.75,2991.36,294.85,117.5,443.97,282.09,0,28.74,1054.57,603.71,0
1984,AK: Anchorage,211028,7245.14,1034.99,3148.9,228.99,66.65,380.73,260.13,0,38.44,922.61,473.88,0
1985,AK: Anchorage,220254,8169.09,1282.33,3071.96,212.84,72.22,391.01,236.23,0,51.44,591.77,112.21,0
1986,AK: Anchorage,226848,7279.6,1341.82,2738.4,280.81,95.25,337.45,234.86,0,37.84,590.44,125.9,0
1987,AK: Anchorage,229965,6887.98,1445.23,2604.22,174.14,50.12,442.02,211.19,0,24.25,755.71,208.24,0
1988,AK: Anchorage,225170,6930.81,1565.55,2347.87,251.37,0,368.81,216.42,0,20.99,728.59,469.49,0
1989,AK: Anchorage,224371,6598.33,1505.11,2286.4,244.14,0,328.95,207.23,0,14.09,580.06,311.95,0
1990,AK: Anchorage,225374,6347.37,1437.07,2304.91,231.2,0,294.32,177.46,0,13.12,389.72,140.63,0
1991,AK: Anchorage,227614,6238.52,1419.88,2331.74,229.77,0,302.85,176.81,0,11.08,380.8,123.05,0
1992,AK: Anchorage,235137,6054.7,1331.85,2167.72,239.25,41.2,294.47,167.13,0,13.37,394.34,106.62,12.94
1993,AK: Anchorage,245623,6292.87,1353.31,2171.62,284.77,51.54,311.91,193.56,0,15.84,505.35,111.22,9.94
1994,AK: Anchorage,250163,5610.68,1178.88,2371.82,245.36,51.31,294.18,150.05,0,16.05,305.79,94.98,9.51
1995,AK: Anchorage,252278,5550.69,1291.93,2451.81,231.57,50.97,248.84,129.12,0,15.29,291.62,70.13,9.45
1996,AK: Anchorage,251981,5377.27,1353.08,2534.42,232.1,51.05,234,151.07,0,15.32,259.06,77.65,18.24
1997,AK: Anchorage,250710,5396.31,1429.77,2337.86,239.32,52.67,244.62,155.85,0,15.81,274.6,87.71,18.84
1998,AK: Anchorage,252700,5824.81,1462.43,2222.05,195.24,0,278.87,139.24,0,15.47,259.18,96.27,0
1999,AK: Anchorage,257232,5769.01,1552.25,2489.66,195.96,0,355.53,173.06,0,24.82,375.82,219.13,0
2000,AK: Anchorage,259348,5523.35,1577.76,2426.51,195.6,0,352.61,172.74,0,24.78,369.85,213.45,0
2001,AK: Anchorage,260816,4831.29,1574.24,2281.82,138.03,0,594.42,192.48,0,28.7,412.74,266.67,0
2002,AK: Anchorage,264274,4914.64,1659.26,2455.38,165.42,0,708.42,205.36,0,30.06,429.18,285.35,0
2003,AK: Anchorage,268229,4463.29,1669.7,2590.59,176.95,0,320.32,222.14,0,29.61,275.83,121.36,0
2004,AK: Anchorage,270568,5007.39,1701.27,2627.83,143.11,0,325.37,220.4,0,32.24,354.11,136.75,0
2005,AK: Anchorage,274484,4944.86,1764.74,2636.72,108.67,0,335.65,232.75,0,27.84,381.41,114.36,0
2006,AK: Anchorage,276494,5198.61,1877.12,2632.71,115.17,0,338.51,252.6,0,29.85,348.25,121.03,0
2007,AK: Anchorage,280085,5708.19,1980.21,2416.47,102.82,0,357.36,264.28,0,31.64,543.07,278.45,0
2008,AK: Anchorage,278792,5371.8,1866.79,2786.04,102.27,0,411.99,280.47,0,30.34,596.42,320.45,0
2009,AK: Anchorage,281554,5060.77,2019.31,2891.44,105.32,0,427.53,305.12,0,36.35,530.18,277.3,0
2010,AK: Anchorage,287677,6036.69,2027.53,2880.31,103.9,0,433.95,293.4,0,34.07,544.35,177.32,0
2011,AK: Anchorage,293310,5815.54,1998.33,2787.14,93.42,0,410.66,310.85,0,31.9,388.52,141.81,0
2012,AK: Anchorage,296154,5378.15,1970.61,2429.79,96.7,0,446.75,327.2,0,33.16,303.17,75.79,0
2013,AK: Anchorage,298233,5694.68,1983.46,2471.81,128.83,0,454.03,335.5,0,0,274.11,26.01,0
2014,AK: Anchorage,301155,5735.87,1954.56,2456.47,81.63,5.32,468.5,372.57,0,0,339.45,55.31,37.11
2015,AK: Anchorage,299927,6054.78,2004.67,2729.98,88.45,5.31,482.87,385.43,0,0,414.08,127.16,34.38
2016,AK: Anchorage,297613,5778.73,2040.64,2463.58,84.66,5.24,480.72,383.64,0,34.86,338.54,125.41,38.97
2017,AK: Anchorage,297216,5694.71,2050,2366.46,76.03,5.26,445.15,385.62,0,33.47,402.07,118.38,39.92
1977,AK: Fairbanks,21309,7328.97,2159.21,0,94.53,0,459.94,567.37,0,50.68,2276.14,141.61,0
1978,AK: Fairbanks,21620,6454.64,1970.53,0,76.34,0,533.5,632.09,0,49.21,491.59,138.59,3.3
1979,AK: Fairbanks,22120,6273.03,1616.11,0,82.73,58.92,525.22,506.9,0,44.57,458.21,109.59,19.54
1980,AK: Fairbanks,22495,5641.39,1390.64,0,49.06,31.21,465.49,408.89,0,47.08,528.57,123.65,39.41
1981,AK: Fairbanks,22645,5982.04,1239.63,0,12.98,0,396.06,450.36,0,29.06,521.69,151.47,19.89
1982,AK: Fairbanks,23613,6907.54,691.8,0,13.77,1.94,851,559.7,0,34.96,817.23,243.87,191.26
1983,AK: Fairbanks,24876,6991.06,127.52,0,42.74,31.16,413.44,360.81,0,43.04,803.43,211.81,214.09
1984,AK: Fairbanks,27141,5837.52,171.85,0,48.24,38.77,373.6,349.35,0,43.98,712.51,177.24,159.85
1985,AK: Fairbanks,28073,6536.14,210.82,0,8.6,0,383.99,334.74,0,41.87,423.43,146.63,0
1986,AK: Fairbanks,29209,5911.95,334.07,0,8.88,0,427.41,334.07,0,47.93,250.46,0,0
1987,AK: Fairbanks,29907,4254.96,454.25,0,0,0,344.65,323.37,0,41.92,356.49,0,0
1988,AK: Fairbanks,29755,4886.08,412.25,0,102.43,0,303.06,275.69,0,34.33,242.75,0,0
1989,AK: Fairbanks,30338,4573.79,345.21,0,4.43,0,266.37,231.64,0,22.87,193.39,0,7.49
1990,AK: Fairbanks,30882,4103.6,538.43,0,5.04,0,268.12,224.46,0,20.83,416.78,0,31.34
1991,AK: Fairbanks,31029,4017.19,527.11,0,4.93,0,262.45,219.71,0,20.42,408.04,0,30.68
1992,AK: Fairbanks,31751,3622.99,512.89,0,3.74,0,200.02,167.44,0,15.52,244.48,0,12.38
1993,AK: Fairbanks,32380,3901.62,511.99,0,4.77,0,254.92,213.38,0,19.86,396.32,0,29.81
1994,AK: Fairbanks,32398,4126.48,521.85,0,5.11,0,273.43,228.87,0,21.29,436.8,0,33.9
1995,AK: Fairbanks,32087,4973.72,554.95,0,5.21,0,280.05,234.39,0,21.8,494.44,0,42.56
1996,AK: Fairbanks,31347,4899.66,542.04,0,5.28,0,284.77,238.37,0,22.18,684.67,0,73.46
1997,AK: Fairbanks,31153,3685.58,424.35,0,5.44,0,260.17,182.91,0,22.89,280.81,0,7.4
1998,AK: Fairbanks,30355,6009.49,589.63,0,6.09,0,291,204.6,0,25.61,314.09,0,8.27
1999,AK: Fairbanks,30658,1016.07,478.37,0,3.02,0,245.28,180.4,0,22.65,0,0,0
2000,AK: Fairbanks,30286,995.47,496.28,0,3.1,0,247.88,183.07,0,23.08,0,0,0
2001,AK: Fairbanks,30200,988.31,512.91,0,3.14,0,403.47,173.83,0,22.41,0,0,0
2002,AK: Fairbanks,30464,981.69,528.84,0,3.18,0,551.61,165.08,0,21.78,0,0,0
2003,AK: Fairbanks,30529,1156.08,547.85,0,1.61,0,404.99,178.52,0,24.5,6.35,0,0
2004,AK: Fairbanks,30469,1321.85,565.83,0,0.13,0,265.28,191.26,0,27.09,12.39,0,0
2005,AK: Fairbanks,30839,1103.41,588.25,0,0.12,0,241.87,177.08,0,25.48,11.68,0,0
2006,AK: Fairbanks,30946,1269.62,648.84,0,0,0,300.14,302.77,0,24.63,14.22,0,0
2007,AK: Fairbanks,30636,1666.95,666.08,0,0,0,271.93,236.86,0,25.78,13.93,0,0
2008,AK: Fairbanks,31184,1604.41,693.34,0,0,0,267.24,178.2,0,22.16,13.73,0,0
2009,AK: Fairbanks,31212,1657.53,689.37,0,0,0,332.13,207.45,0,22.84,15.81,0,0
2010,AK: Fairbanks,31083,1455.42,696.86,0,0,0,336.73,226.9,0,20.98,15.59,0,0
2011,AK: Fairbanks,31760,1797.28,718.23,0,0,0,354.09,197.15,0,21.2,21.41,0,0
2012,AK: Fairbanks,30741,1481.43,743.63,0,0,0,215.08,204.77,0,22.26,0,0,0
2013,AK: Fairbanks,32061,1724.08,717.23,0,0,0,292.75,200,0,0,21.14,21.14,0
2014,AK: Fairbanks,32385,1965.45,697.63,0,0,0,263.51,216.93,0,21.33,16.02,0,0
2015,AK: Fairbanks,31529,1891.35,715.89,0,0,0,291.77,205.63,0,20.89,17.38,0,0
2016,AK: Fairbanks,31636,1566.89,752.35,0,0,0,236.6,238.09,0,21.5,17.24,0,0
2017,AK: Fairbanks,32015,1875.06,760.52,0,0,0,207.75,253.07,0,21.86,0,0,0
1977,AL: Birmingham,291495,1879.59,736.32,27.11,0,0,179.03,135.14,11.03,17.83,267.09,122.31,0.01
1978,AL: Birmingham,289662,2127.94,779.59,110.45,12.98,0,203.83,162.54,15.81,20.52,493.23,207.48,19.94
1979,AL: Birmingham,288458,1969.31,762.04,85.36,0.2,0,209.79,167.15,21.81,19.97,370.87,129.36,50.86
1980,AL: Birmingham,287434,1522.58,728.28,61.65,0,0,179.76,151.54,15.39,15.83,371.29,89.28,70.18
1981,AL: Birmingham,284413,1525.1,701.69,36.23,0,0,172.23,144.01,14.86,12.91,193.47,74.2,27.54
1982,AL: Birmingham,281791,1605.08,693.9,54.92,0,0,180.94,161.12,58.94,31,297.38,94.26,83.8
1983,AL: Birmingham,278422,1687.33,588.52,101.87,0,0,175.29,155.11,32.78,0,348.62,109.55,96.14
1984,AL: Birmingham,276669,1749.73,751.58,88.66,0,0,186.3,150.34,53.2,19.33,390.18,164.6,78
1985,AL: Birmingham,275048,1907.64,870.1,105.15,0,0,178.09,156.95,40.64,16,410.01,173.06,81.13
1986,AL: Birmingham,273715,1997.99,986.85,77.35,0,0,187.52,171.66,27.44,14.51,441.15,212.01,88.13
1987,AL: Birmingham,272176,1868.68,975.69,59.85,0,0,188.01,166.67,18.98,14.79,383.77,155.66,74.9
1988,AL: Birmingham,270989,1731.79,967.28,65.99,0,0,193.29,164.32,17.85,15.64,387.28,150.4,87.75
1989,AL: Birmingham,269064,1792.14,991.45,61.8,0,0,201.56,160.83,18.04,15.79,400.2,131.3,116.5
1990,AL: Birmingham,267069,1746.59,991.14,59.79,0,0,225.44,184.64,18.87,39.95,412.74,133.33,119.22
1991,AL: Birmingham,265351,1850.41,986.38,85.95,0,0,226.56,180.57,19.42,39.45,477.54,235.88,64.13
1992,AL: Birmingham,262290,2117.49,1054.96,66.46,0,0,238.18,183.74,19.93,38.93,430.95,267.01,5.49
1993,AL: Birmingham,259126,2073.4,1150.08,61.51,0,0,258.96,179.02,2.81,42.59,267.4,127,5.27
1994,AL: Birmingham,256345,2678.12,1180.79,70.34,0,0,249.6,187.95,22.32,43.06,436.33,140.52,127.95
1995,AL: Birmingham,253565,2037.71,1245.1,64.69,0.76,0.53,259.16,187.8,3.04,45.8,236.66,118.97,51.79
1996,AL: Birmingham,250673,2021.12,1263.14,73.15,1.35,0.5,300.74,192.14,36.41,46.34,317.69,172.73,63.24
1997,AL: Birmingham,248292,2315.12,1303.42,70.84,1.32,0.49,311.06,201.49,3.08,50.18,327.54,180.05,76.46
1998,AL: Birmingham,247760,2172.5,1356.88,68.43,1.81,1,358.98,197.21,3.16,31.92,405.71,213.73,107.03
1999,AL: Birmingham,246245,2495.52,1419.76,76.6,15.59,1.05,366.01,204.36,3.11,31.43,192.75,28.93,74.77
2000,AL: Birmingham,243391,3026.83,1451.22,80.4,16.31,1.09,381.66,213.75,3.25,32.86,196.93,28.03,75.8
2001,AL: Birmingham,240953,2947.8,1479.63,72.54,18.15,0,373.14,210.07,3.27,28.88,461.41,156.45,68.18
2002,AL: Birmingham,237453,2797.28,1495.85,76.1,18.05,0,408.55,238.63,3.29,22.95,588.54,162.09,193.31
2003,AL: Birmingham,233602,2684.13,1480.27,79.64,19.67,0,410.64,240.12,3.5,23.85,641.66,138.06,226.56
2004,AL: Birmingham,230961,3021.56,1503,77.15,16.86,0,395.36,241.46,3.69,23.02,494.11,125.22,36.67
2005,AL: Birmingham,227574,2815.39,1559.99,282.14,20.36,2.79,373.53,254.52,37.27,26.21,479.81,105.9,47.02
2006,AL: Birmingham,224379,2943.52,1575.26,381.76,18.51,10,429.83,282.67,36.77,54.49,462.03,151.2,16.09
2007,AL: Birmingham,221936,3767.72,2026.69,89,8.17,0,354.86,261.29,39.25,0,255.88,136.63,4.48
2008,AL: Birmingham,218880,3256.28,2274.74,82.52,10.23,2.01,374.46,264.9,41.39,0,349.62,210.87,11.85
2009,AL: Birmingham,216505,2659.21,1985.82,86.83,0,0,434.85,335.52,12.9,0,175.6,93.81,58.55
2010,AL: Birmingham,214394,3579.56,1848.8,86.95,0,0,425.37,352.95,49.28,0,128.92,60.32,65.78
2011,AL: Birmingham,211743,3867.14,1839.65,75.74,0,0,393.53,308.48,39.07,77.32,199.55,69.84,45.14
2012,AL: Birmingham,211566,3383.48,1819.73,74.27,0,0,394.45,286.91,7.71,100.72,125.39,93.42,31.96
2013,AL: Birmingham,210749,3643.14,1833.45,71.43,0,0,421.76,269.24,8.18,56.98,172.76,105.04,67.72
2014,AL: Birmingham,211230,3895.75,1857,71.66,0,0,448.47,278.24,7.4,58.09,159.51,107.95,51.56
2015,AL: Birmingham,211109,3426.9,1917.96,70.82,0,0,444.13,279.79,7.11,62.21,160.29,108.73,51.56
2016,AL: Birmingham,211703,3308.24,1945.09,72.47,0,0,466.9,302.32,7.44,61.42,172.15,118.98,53.18
2017,AL: Birmingham,211436,3655.6,1954.41,68.96,0,0,465.54,300.23,6.51,63.29,188.48,136.88,51.6
1977,AL: Mobile,196274,1456.33,534.7,30.27,13.58,0,151.76,136.43,0,30.85,710.53,113.04,52.18
1978,AL: Mobile,199187,1372.73,551.32,29.54,0,0,137.05,138.25,6.98,8.4,504.49,72.4,9.49
1979,AL: Mobile,201348,1472.95,573.52,26.19,0,0,143.32,138.89,4.81,8.42,530.52,71.67,0
1980,AL: Mobile,200447,1311.41,521.62,31.45,0,0,149.74,131.37,0,8.55,318.06,60.07,0
1981,AL: Mobile,200452,1317.14,555.62,27.42,0,0,145.29,138.86,1.29,9.31,292.84,70.96,0
1982,AL: Mobile,202472,1196.87,528.11,27.68,0,0,147.26,122.05,9.4,8.04,290.85,68.57,0
1983,AL: Mobile,203864,1350.81,530.73,22.9,0,0,129.57,101.19,8.17,5.81,298.35,60.17,0
1984,AL: Mobile,203993,1420.51,563.58,16.94,0,0,127.64,94.38,8.36,5.45,245.4,55.32,0
1985,AL: Mobile,202662,1457.97,625.56,24.01,0,0,129.99,98.6,10.34,6.18,197.23,48.32,0
1986,AL: Mobile,203086,1648.07,752.77,26.11,0,0,144.56,110.13,10.4,6.83,224.36,81.29,0
1987,AL: Mobile,203627,1549.37,782.44,28.27,0,0,155.46,117.88,11.65,7.34,221.43,60.22,0
1988,AL: Mobile,203667,1464.4,769.36,29.61,0,0,164.01,122.92,11.3,7.77,251.44,81.78,0
1989,AL: Mobile,201498,1449.67,848.85,28.55,3.22,0,169.9,129.77,10.62,8.14,219.64,156.5,0
1990,AL: Mobile,199112,1443.06,839.15,20.95,3.43,0,176.74,122.98,10.75,7.56,262.28,136.01,0
1991,AL: Mobile,198353,1515.32,865.83,21.08,3.7,0,179.95,122.89,15.29,8.21,216.29,73.11,0
1992,AL: Mobile,198662,1683.13,943.09,22.14,14.91,0,195.07,124.7,14.77,9.85,369.77,185.56,0
1993,AL: Mobile,199271,1774.8,1044.66,26.66,23.7,0,198.6,127.68,29.85,11.59,510.98,322.04,0
1994,AL: Mobile,201010,1790.37,1065.22,23.58,30.53,0,223.94,124.32,18.11,13.38,345.94,274.27,0
1995,AL: Mobile,201745,1771.99,1038.15,37.03,30.45,0,211.05,145.47,18.04,13.15,432.43,137.8,0
1996,AL: Mobile,202060,1776.45,1064.97,22.79,4.55,0,219.63,141,17.83,13.88,387.5,123.76,0
1997,AL: Mobile,202466,1853.05,1090.68,22.35,45.26,0,206.61,150.52,17.06,14.19,399.57,151.56,0
1998,AL: Mobile,202816,1918.78,1118.73,22.67,43.66,0,216.11,147.07,17.5,14.01,355.38,121.46,0
1999,AL: Mobile,203391,1959.68,1154.17,42.96,3.31,0,234.84,158.5,16.23,13.34,385.29,123.81,0
2000,AL: Mobile,203235,1934.87,1128.35,42.35,3.33,0,240.5,170.48,21.61,22.5,547.09,158.28,0
2001,AL: Mobile,203347,1879.66,1104.83,40.21,4.08,0,251.43,171.79,18.89,23.4,434.1,179.43,0
2002,AL: Mobile,201811,2027.47,1150.6,40.31,3.49,0,252.55,172.84,20.94,20.25,395.24,142.03,0
2003,AL: Mobile,199470,1989.87,1132.81,62.36,4.67,0,297.84,167.75,0,22.51,506.55,208.16,0
2004,AL: Mobile,197742,1912.79,1103.34,44.54,3.94,0,290.32,175.12,0,20.22,583.79,161.5,0
2005,AL: Mobile,196175,1885.59,1118.33,48.55,3.45,0,268.38,157.11,0,0,428.85,142.23,0
2006,AL: Mobile,195188,2010.86,1225.6,35.64,3.74,0,317.95,164.45,0,21.03,566.33,169.4,0
2007,AL: Mobile,195649,2312.04,1493.24,40.36,3.63,0,328.95,170.93,0,20.22,359.22,175.57,0
2008,AL: Mobile,195530,1922.44,1241.34,37.85,3.49,0,346.55,175.46,0,20.29,330.77,203.1,0
2009,AL: Mobile,195915,2066.09,1333.87,36.25,3.5,0,310.1,213.24,0,21.41,619.23,282.44,0
2010,AL: Mobile,195756,2144.25,1256.13,59.8,39.9,0,285.61,168.55,43.6,0,528.11,166.52,31.92
2011,AL: Mobile,194577,2099.47,1273.91,51.27,33.74,0,309.49,203.2,16.65,23.57,571.44,167.18,28.86
2012,AL: Mobile,193992,2122.58,1352.54,53.05,33.62,0,233.59,136.05,41.49,23.85,543.81,153.34,2.66
2013,AL: Mobile,193858,1836.4,1193.61,85.68,34.62,0,230.87,140.74,41.34,24.49,335.68,111.09,1.8
2014,AL: Mobile,193555,1843.34,1193.63,85.81,34.68,0,231.21,140.95,41.4,24.53,336.18,111.26,1.8
2015,AL: Mobile,192979,1984.9,1236.25,86.79,35.08,0,233.87,142.57,41.88,24.81,340.04,112.54,1.82
2016,AL: Mobile,192377,2248,1488.89,52.21,35.91,0,233.58,154.15,43.08,28.16,515.66,150.26,19.98
2017,AL: Mobile,191885,2408.76,1485.96,49.9,37.42,0,232.47,161.9,43.37,32.73,563.96,148.91,26.42
1977,AL: Montgomery,160741,1306.09,515.96,13.09,21.39,18.67,116.21,118.25,0,8,197.89,90.01,0.18
1978,AL: Montgomery,163712,1146.78,507.99,12.88,27.33,24.73,121.3,138.2,0,7.74,375.62,263.86,0
1979,AL: Montgomery,167940,1170.77,523.84,6.07,23.68,20.22,127.86,105.43,0,9.77,264.61,117.97,1.83
1980,AL: Montgomery,172490,1029.74,478.54,8.26,13.52,11.52,122.31,92.2,0,9.14,233.25,113.44,5.04
1981,AL: Montgomery,177857,985.97,459.83,5.72,9.99,7.91,120.34,87.72,0,8.63,234.73,112.67,1.43
1982,AL: Montgomery,180319,999.79,464.81,5.56,7.66,5.54,125.84,88.38,0,8.38,232.98,106.51,3.42
1983,AL: Montgomery,180984,1050.01,477.63,6.27,4.09,2.42,124.72,87.37,0,8.74,215.82,122.71,2.37
1984,AL: Montgomery,181496,1118.15,517.11,6.11,7.6,5.84,122.76,88.27,0,8.28,226.62,133.85,3.55
1985,AL: Montgomery,183560,1180.4,544.2,6.14,8.75,6.71,146,108.73,0,9.82,269.49,119.5,7.72
1986,AL: Montgomery,184977,1162.75,562.68,21.41,4.73,0,158.05,113.17,0,10.05,244.85,114.39,35.99
1987,AL: Montgomery,187318,1181.43,594.82,22.8,4.91,0,165.27,112.85,0,9.78,223.46,110.43,29.33
1988,AL: Montgomery,188903,1213.71,633.83,15.19,8.14,0,167.27,112.02,0,9.25,222.05,109.69,35.33
1989,AL: Montgomery,189680,1193.09,625.16,16.07,8.02,0,169.06,111.1,0,9.28,225.48,123.21,25.19
1990,AL: Montgomery,190978,1187.69,662.91,15.65,5.27,0,162.48,107.08,0,8.97,213.1,106.82,31.01
1991,AL: Montgomery,191208,1302.5,687.78,14.92,5.61,0,164.01,110.53,0,9.22,236.63,117.72,24.37
1992,AL: Montgomery,193947,1278.92,675.62,16.94,5.31,0,165.27,111.53,0,9.22,253.95,126.25,27.68
1993,AL: Montgomery,196308,1271.19,680.19,15.19,4.76,0,161.43,109.42,0,9.57,316.23,188.81,30.05
1994,AL: Montgomery,198777,1322.06,695.39,0,4.09,0,159.38,112.74,0,10.44,281.47,129.52,24.03
1995,AL: Montgomery,200307,1325.36,707.06,0,4.68,0,180.92,113.52,0,11.29,278.73,126.58,26.09
1996,AL: Montgomery,201029,1368.54,718.12,0,4.72,0,175,117.08,0,11.42,276.92,135.09,26.37
1997,AL: Montgomery,201407,1438.22,769.15,0,3.45,0,190.42,123.43,0,11.84,265.7,136.56,29.04
1998,AL: Montgomery,201866,1471.35,760.63,21.81,3.52,0,210.67,123.51,0,8.15,234.95,143.78,4.05
1999,AL: Montgomery,201874,1475.82,762,21.41,3.43,0,202.19,126.09,0,12.73,270.82,138.57,29.13
2000,AL: Montgomery,200870,1533.83,781.5,46.61,1.18,0,222.39,129.23,0,12.92,273.46,146.12,27.86
2001,AL: Montgomery,201586,1470.43,772.14,19.9,1.68,0,215.47,134.1,0,13.36,285.29,152.74,29.52
2002,AL: Montgomery,201130,1448.52,770.77,62.09,3.33,0,193.84,130.04,0,12.81,272.07,149.61,22.42
2003,AL: Montgomery,201138,1242.38,771.75,34.15,2.76,0,204.85,132.45,0,12.7,300.08,159.3,25.86
2004,AL: Montgomery,200551,1908.77,934.19,36.14,2.71,0,244.33,150.41,0,13.79,325.91,183.34,37.45
2005,AL: Montgomery,200763,1789.57,970.4,36.21,2.69,0,232.22,151.98,0,13.73,292.97,167.79,22.22
2006,AL: Montgomery,201218,1819.31,1000.29,37.45,24.92,0,214.63,149.57,5.42,14.79,280.78,150.86,20.88
2007,AL: Montgomery,204414,1483.24,1015.62,37.43,1.46,0,228.45,160.64,0,15.55,213.24,173.24,28.62
2008,AL: Montgomery,204827,1398.08,988.3,11.43,6.9,6.9,233.32,156.34,3.77,15.11,261.44,207.59,31.47
2009,AL: Montgomery,204275,991.41,994.18,12.99,0,0,304.61,171.97,0,15.64,138.77,106.59,22.77
2010,AL: Montgomery,204282,1641.79,957.18,12.78,0,0,252.08,170.34,0,12.64,217.49,100.04,26
2011,AL: Montgomery,205593,1560.61,925.83,17.16,0,0,227.07,159.53,0,0,248.2,148.48,28.96
2012,AL: Montgomery,205180,1932.13,920.38,16.8,0,0,226.95,165.69,0,12.03,240.71,143.26,14.31
2013,AL: Montgomery,203937,1808.88,926.14,15.11,0,0,269.44,161.52,0,12.15,249.86,149.73,18.1
2014,AL: Montgomery,202426,1951.4,936.28,14.79,0,0,231.77,154.3,0,11.76,265.18,175.3,19.78
2015,AL: Montgomery,201435,1855.78,951.07,14.25,0,0,240.23,162.87,0,12.42,263.27,172.1,14.21
2016,AL: Montgomery,200993,1764.19,983.14,15.56,0,0,228.25,160.52,0,11.23,232.73,140.35,10.85
2017,AL: Montgomery,200360,1889.79,982.68,15.29,0,0,228.46,165.29,0,10.86,239.91,139.78,8.08
1977,AR: Ft. Smith,69634,886.59,150.04,0,3.66,0,88.41,76.62,0,8.25,91.43,34.1,0
1978,AR: Ft. Smith,70954,925.07,145.71,0,2.86,0,87.32,74.44,0,7.05,120.97,19.5,0
1979,AR: Ft. Smith,71724,928.15,140.51,0,3.3,0,86.38,76.31,0,6.97,215.6,21.47,87.75
1980,AR: Ft. Smith,71422,734.76,135.24,0,2.25,0,77.43,70.85,3.83,3.21,173.89,17.49,58.31
1981,AR: Ft. Smith,71626,794.6,125.93,0,6.85,0,90.96,67.24,5.65,9.07,157.37,18.07,44.95
1982,AR: Ft. Smith,71968,725.31,123.57,0,1.31,0,91.8,72.78,0,8.29,161.76,17.19,39.21
1983,AR: Ft. Smith,71340,837.6,131.5,0,1.31,0,98.77,77.96,0,4.93,200.36,19.32,59.23
1984,AR: Ft. Smith,71784,812.52,135.83,0,1.31,0,95.74,72.76,0,4.47,159.79,16.24,45.26
1985,AR: Ft. Smith,72478,873.09,140.21,0,1.29,0,99.32,79.05,0,6.13,186.39,18.36,44.44
1986,AR: Ft. Smith,72782,838.74,150.02,0,1.47,0,98.55,81.06,0,5.47,182.16,17.15,21.85
1987,AR: Ft. Smith,72907,1110.91,386.82,0,1.54,0.15,99.32,73.49,0,6.51,197.52,17.02,42.44
1988,AR: Ft. Smith,73276,1157.94,435.44,0,1.33,0,98.55,70.55,0,6.81,178.65,16.43,20.84
1989,AR: Ft. Smith,73423,1132.12,393.35,0,1.48,0.35,99.13,70.46,0,6.7,204,17.15,29.4
1990,AR: Ft. Smith,73286,1008.32,389.62,0,1.31,0,90.64,72.27,0,0,195.85,33.81,20.83
1991,AR: Ft. Smith,72932,1046.95,449.83,0,1.58,0,94.68,72.43,0,0,179.89,13.74,24.16
1992,AR: Ft. Smith,73790,1039.53,466.6,0,1.52,0,90.85,69.49,0,0,172.6,13.19,23.18
1993,AR: Ft. Smith,74762,1090.36,470.97,0,1.07,0,99.13,78.3,0,0,213.94,15.38,26.18
1994,AR: Ft. Smith,75940,1128.14,483.67,0,1.05,0,101.36,76.64,0,0,425.13,18.34,15.33
1995,AR: Ft. Smith,76316,1073.14,495.15,0,1.03,0,107.23,76.06,0,0,245.42,16.44,38.15
1996,AR: Ft. Smith,77311,1121.93,458.73,0,1.17,0,118.98,80.26,0,0,229.38,15.78,29.91
1997,AR: Ft. Smith,78409,1243.81,577.18,0,0.99,0,125.67,83.83,0,0,224.56,19.05,14.59
1998,AR: Ft. Smith,79251,1149.72,409.67,2.58,1.08,0,162.26,109.05,0,0,244.29,25.31,14.63
1999,AR: Ft. Smith,79476,1354.01,510.71,36.32,1.2,0,168.45,113.59,0,0,242.29,35.47,15.7
2000,AR: Ft. Smith,79887,1750.87,757.34,30.9,0.98,0,182.5,118.53,0,0,264.28,34.91,21.4
2001,AR: Ft. Smith,80762,1500.94,601.19,221.75,1.03,0,189.35,145.29,0,0,446.49,221.13,17
2002,AR: Ft. Smith,81230,1677.43,734.83,59.7,0,0,190.3,141.54,0,0,492.33,81.79,21.12
2003,AR: Ft. Smith,81561,1820.82,767.79,42.52,1.29,0,183.31,139.18,0,0,566.84,71.93,22.02
2004,AR: Ft. Smith,81763,1854.7,765.56,30.33,1.3,0,190,144.31,0,0,631.63,58.47,25.79
2005,AR: Ft. Smith,81908,1807.97,762.04,32.29,1.32,0,210.33,124.61,0,0,588.17,63.56,22.57
