,city_name,Deaths,Agency,Quantity,Acquisition Value,pctPop_25_grad,pctPop_25_collegeup,pctPop_25_hsup
290,FL: PALATKA,2,FL: PALATKA POLICE DEPARTMENT,20,10917.999999999996,4.5,12.4,80.9
292,NV: RENO,12,NV: RENO POLICE DEPARTMENT,2,200123.73,11.4,30.4,88.3
303,IL: PEORIA,3,IL: PEORIA POLICE DEPARTMENT,6,4494.0,9.8,28.4,91.7
306,SC: FLORENCE,2,SC: FLORENCE POLICE DEPARTMENT,154,429837.47000000055,7.6,21.1,83.7
308,TN: LAWRENCEBURG,1,TN: LAWRENCEBURG POLICE DEPARTMENT,9182,3657575.4400000004,5.2,12.5,82.5
309,VA: HARRISONBURG,2,VA: HARRISONBURG POLICE DEPARTMENT,20,847564.0,12.2,29.2,83.7
311,OH: AKRON,3,OH: SPRINGFIELD POLICE DEPARTMENT,63,1839.31,11.6,31.3,91.7
314,TN: MORRISTOWN,2,TN: MORRISTOWN POLICE DEPARTMENT,113,872229.2599999999,6.2,16.2,82.7
316,CO: GREELEY,8,CO: GREELEY POLICE DEPARTMENT,750,1896174.2,8.3,26.7,88.1
323,AZ: YUMA,3,AZ: YUMA POLICE DEPARTMENT,304,672374.07,5.0,14.8,72.1
326,LA: BOGALUSA,1,LA: BOGALUSA POLICE DEPARTMENT,10,4990.0,3.7,11.7,77.3
327,AL: MOBILE,5,AL: MOBILE POLICE DEPARTMENT,29,55033.0,7.8,22.9,86.2
332,NM: ROSWELL,3,NM: ROSWELL POLICE DEPARTMENT,2,796894.0,5.9,17.8,78.0
335,NM: RUIDOSO,3,NM: RUIDOSO POLICE DEPARTMENT,22,82457.0,8.9,29.3,91.5
338,WA: WENATCHEE,3,WA: WENATCHEE POLICE DEPARTMENT,1,10000.0,9.2,24.1,82.8
341,AL: HUNTSVILLE,1,AL: PRICEVILLE POLICE DEPARTMENT,1,41061.0,14.4,38.3,89.7
342,AZ: PRESCOTT,2,AZ: PRESCOTT POLICE DEPARTMENT,271,690301.32,10.2,25.2,90.3
344,CA: CHICO,3,CA: CHICO POLICE DEPARTMENT,115,117379.55,9.0,26.5,89.3
347,IL: SPRINGFIELD,2,IL: SPRINGFIELD POLICE DEPARTMENT,10,102506.69,12.3,33.5,92.4
349,FL: OCALA,3,FL: OCALA POLICE DEPARTMENT,46,757565.5,6.4,19.4,87.3
352,MN: AUSTIN,1,MN: AUSTIN POLICE DEPARTMENT,1,60409.0,7.0,21.7,86.9
353,AL: GADSDEN,1,AL: GADSDEN POLICE DEPARTMENT,68,250996.26,6.8,17.7,84.5
354,SC: SUMTER,1,SC: SUMTER POLICE DEPARTMENT,911,71720.33000000003,7.0,18.5,83.6
355,TN: JACKSON,2,TN: JACKSON POLICE DEPARTMENT,4,2411165.0,8.3,23.2,87.2
357,OH: ASHTABULA,1,OH: ASHTABULA POLICE DEPARTMENT,365,849214.07,4.9,14.1,86.0
358,KY: OWENSBORO,1,KY: OWENSBORO POLICE DEPARTMENT,3,793955.0,8.2,21.1,89.4
359,GA: ALBANY,1,GA: ALBANY POLICE DEPARTMENT,25,12475.0,8.4,19.9,83.4
360,NM: ALAMOGORDO,1,NM: ALAMOGORDO POLICE DEPARTMENT,63,486999.0,7.8,19.0,83.5
361,IN: MARION,1,IN: MARION POLICE DEPARTMENT,45,33705.0,6.9,17.1,87.0
362,AL: SELMA,4,AL: SELMA POLICE DEPARTMENT,40,15557.099999999995,6.5,15.1,80.7
366,IN: MUNCIE,3,IN: MUNCIE POLICE DEPARTMENT,108,1048469.1199999995,10.6,24.3,89.3
369,ND: BISMARCK,1,ND: BISMARCK POLICE DEPARTMENT,33,618725.0,8.7,32.2,93.1
370,NM: DEMING,1,NM: DEMING POLICE DEPARTMENT,1,733000.0,4.4,12.2,68.6
371,MS: COLUMBUS,1,MS: COLUMBUS POLICE DEPARTMENT,1,138.0,9.0,23.7,85.8
372,MS: BROOKHAVEN,1,MS: BROOKHAVEN POLICE DEPARTMENT,2,269684.0,6.2,16.0,86.6
373,AL: TUSCALOOSA,1,AL: TUSCALOOSA POLICE DEPARTMENT,838,5568990.14,10.7,27.6,87.4
